2023-06-19 17:05:00 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-06-19 17:05:00 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-06-19 17:05:00 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-06-19 17:08:43 [http-nio-8888-exec-2] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-1215702725935420898/config-server-repository/config-client-twitter_to_kafka.yml]' via location 'file:/tmp/config-repo-1215702725935420898/config-server-repository/'
2023-06-19 17:08:43 [http-nio-8888-exec-2] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/tmp/config-repo-1215702725935420898/config-server-repository/config-client.yml]' via location 'file:/tmp/config-repo-1215702725935420898/config-server-repository/'
2023-06-19 17:55:31 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.4.Final
2023-06-19 17:55:31 [main] INFO  com.microservices.ConfigServer - Starting ConfigServer v0.0.1-SNAPSHOT using Java 17.0.7 on 1a3665ebf603 with PID 1 (/workspace/BOOT-INF/classes started by cnb in /workspace)
2023-06-19 17:55:31 [main] INFO  com.microservices.ConfigServer - No active profile set, falling back to 1 default profile: "default"
2023-06-19 17:55:32 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=e45cfef8-d204-391b-a902-213cf762b805
2023-06-19 17:55:32 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2023-06-19 17:55:32 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2023-06-19 17:55:32 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-06-19 17:55:32 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
2023-06-19 17:55:32 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-06-19 17:55:32 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1025 ms
2023-06-19 17:55:33 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@515b9d4a, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@39b626e5, org.springframework.security.web.context.SecurityContextPersistenceFilter@bb25753, org.springframework.security.web.header.HeaderWriterFilter@9a20cbd, org.springframework.security.web.csrf.CsrfFilter@100ad67e, org.springframework.security.web.authentication.logout.LogoutFilter@2bb41f5c, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@7d42404e, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@35dece42, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@32a4ecbe, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@69a024a0, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@40c06358, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@66e21568, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2e71240b, org.springframework.security.web.session.SessionManagementFilter@445821a6, org.springframework.security.web.access.ExceptionTranslationFilter@309dcdf3, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@5fdfe8cf]
2023-06-19 17:55:33 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/actuator/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-06-19 17:55:33 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/actuator/**']
2023-06-19 17:55:33 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/encrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-06-19 17:55:33 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/encrypt/**']
2023-06-19 17:55:33 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/decrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-06-19 17:55:33 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/decrypt/**']
2023-06-19 17:55:38 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2023-06-19 17:55:38 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2023-06-19 17:55:38 [main] INFO  com.microservices.ConfigServer - Started ConfigServer in 6.993 seconds (JVM running for 7.386)
2023-06-19 17:58:48 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.4.Final
2023-06-19 17:58:48 [main] INFO  com.microservices.ConfigServer - Starting ConfigServer v0.0.1-SNAPSHOT using Java 17.0.7 on 107b46e12f0a with PID 1 (/workspace/BOOT-INF/classes started by cnb in /workspace)
2023-06-19 17:58:48 [main] INFO  com.microservices.ConfigServer - No active profile set, falling back to 1 default profile: "default"
2023-06-19 17:58:49 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=e45cfef8-d204-391b-a902-213cf762b805
